cluster_id,location_key,location_lat,location_lon,cluster_size,avg_confidence,max_confidence,min_confidence,confidence_level,num_edges,company_names_count,company_domains_count,timezones_count,methods_agreeing_count,methods_agreeing,manual_decision,decision_reason,timestamp
LOC_112414_NAME_0,42.1457_-75.8851,42.1457,-75.8851,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:05.001352
LOC_113576_NAME_0,42.2804_-89.1744,42.2804,-89.1744,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:07.247865
LOC_113690_NAME_0,42.293_-83.1265,42.293,-83.1265,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:08.892322
LOC_114575_NAME_0,42.3766_-87.8982,42.3766,-87.8982,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,REJECTED,manual_rejection,2025-07-10T15:05:10.193646
LOC_118089_NAME_0,42.6252_-73.7595,42.6252,-73.7595,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:11.934522
LOC_119413_NAME_0,42.7205_-87.8847,42.7205,-87.8847,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:14.816934
LOC_132090_NAME_0,43.9869_-80.6721,43.9869,-80.6721,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:17.950719
LOC_134099_NAME_0,44.4159_-118.9475,44.4159,-118.9475,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:20.515657
LOC_135604_NAME_0,45.2049_-93.5773,45.2049,-93.5773,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:21.662365
LOC_149780_NAME_0,53.1791_-105.762,53.1791,-105.762,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:22.641021
LOC_154973_NAME_8,56.0701_-118.3923,56.0701,-118.3923,2,0.5916666666666667,0.5916666666666667,0.5916666666666667,LOW,0,2,0,2,1,jaccard_fuzzy,APPROVED,manual_approval,2025-07-10T15:05:25.514718
